"id","blog_post_id","blog_tag_id","created","modified"
"21","14","2","",""
"22","14","3","",""
"614","31","6","",""
"618","29","9","",""
"621","36","7","",""
"622","36","9","",""
"630","38","10","",""
"635","34","5","",""
"636","34","6","",""
"637","34","7","",""
"638","34","9","",""
"641","35","7","",""
"642","35","9","",""
"654","21","4","",""
"656","26","7","",""
