"id","name","title","description","layout","template","status","list_count","list_direction","feed_count","tag_use","comment_use","comment_approve","auth_captcha","widget_area","exclude_search","eye_catch_size","use_content","created","modified"
"1","news","お知らせ","<p>AIPの最新情報をお届けします。</p>","default","default","1","10","DESC","10","1","0","0","1","2","","YTo0OntzOjExOiJ0aHVtYl93aWR0aCI7czozOiI5NjAiO3M6MTI6InRodW1iX2hlaWdodCI7czozOiI5NjAiO3M6MTg6Im1vYmlsZV90aHVtYl93aWR0aCI7czozOiIyNDAiO3M6MTk6Im1vYmlsZV90aHVtYl9oZWlnaHQiO3M6MzoiMjQwIjt9","1","2015-02-03 22:14:19","2015-06-03 14:41:49"
"2","course","AIPの講座","<p>AIPの講座情報を配信します。</p>","default","default","1","10","DESC","10","1","0","0","1","4","","YTo0OntzOjExOiJ0aHVtYl93aWR0aCI7czozOiI5NjAiO3M6MTI6InRodW1iX2hlaWdodCI7czozOiI5NjAiO3M6MTg6Im1vYmlsZV90aHVtYl93aWR0aCI7czozOiIyNDAiO3M6MTk6Im1vYmlsZV90aHVtYl9oZWlnaHQiO3M6MzoiMjQwIjt9","","2015-03-11 22:44:13","2015-06-03 14:42:06"
"3","teacher","講師","","default","teacher","1","10","DESC","10","","0","0","1","4","","YTo0OntzOjExOiJ0aHVtYl93aWR0aCI7czozOiI5NjAiO3M6MTI6InRodW1iX2hlaWdodCI7czozOiI5NjAiO3M6MTg6Im1vYmlsZV90aHVtYl93aWR0aCI7czozOiIyNDAiO3M6MTk6Im1vYmlsZV90aHVtYl9oZWlnaHQiO3M6MzoiMjQwIjt9","1","2015-03-25 23:39:14","2015-06-03 14:42:28"
"4","staff-blog","スタッフブログ","","default","default","1","10","DESC","10","1","1","1","1","6","","YTo0OntzOjExOiJ0aHVtYl93aWR0aCI7czozOiI5NjAiO3M6MTI6InRodW1iX2hlaWdodCI7czozOiI5NjAiO3M6MTg6Im1vYmlsZV90aHVtYl93aWR0aCI7czozOiIyNDAiO3M6MTk6Im1vYmlsZV90aHVtYl9oZWlnaHQiO3M6MzoiMjQwIjt9","1","2015-05-21 14:57:05","2015-05-26 13:18:38"
