"id","petit_custom_field_config_id","field_foreign_id","position","modified","created"
"1","2","1","1","2015-04-16 20:27:08","2015-04-16 20:27:08"
"2","2","2","2","2015-04-16 20:27:45","2015-04-16 20:27:45"
