"id","parent_id","lft","rght","name","title","sort","contents_navi","owner_id","layout_template","content_template","modified","created"
"1","","1","2","mobile","モバイル","1","","","","","","2015-02-03 22:14:15"
"2","","3","4","smartphone","スマートフォン","1","","","","","","2015-02-03 22:14:15"
"3","","5","6","project","プロジェクト支援","","","","default","default","2015-03-11 22:10:56","2015-03-11 22:10:56"
"4","","7","8","community","コミュニティ支援","","","","default","default","2015-03-11 22:11:17","2015-03-11 22:11:17"
"5","","9","12","education","教育事業","","1","","default","default","2015-03-11 22:12:40","2015-03-11 22:12:40"
"6","","13","14","about","AIPの紹介","","1","","default","default","2015-03-26 13:51:04","2015-03-11 22:13:45"
"7","5","10","11","course","講座","","1","","default","default","2015-03-11 22:19:25","2015-03-11 22:19:25"
